country_code,country,year,indicator_code,indicator,value,imputed
ARG,Argentina,2000,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,97.14,False
ARG,Argentina,2001,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,97.63,False
ARG,Argentina,2002,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.98,False
ARG,Argentina,2003,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,97.8,False
ARG,Argentina,2004,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,97.5,False
ARG,Argentina,2005,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,99.1,False
ARG,Argentina,2006,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,97.86,False
ARG,Argentina,2007,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.055,True
ARG,Argentina,2008,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.25,False
ARG,Argentina,2009,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,99.14,False
ARG,Argentina,2010,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.4,False
ARG,Argentina,2011,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.72,False
ARG,Argentina,2012,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.775,True
ARG,Argentina,2013,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.83,True
ARG,Argentina,2014,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.88499999999999,True
ARG,Argentina,2015,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.94,False
ARG,Argentina,2016,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.86,False
ARG,Argentina,2017,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.87,False
ARG,Argentina,2018,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.89,True
ARG,Argentina,2019,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.91,False
ARG,Argentina,2020,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,99.63,False
ARG,Argentina,2021,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.74,False
ARG,Argentina,2022,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.74,True
ARG,Argentina,2023,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,98.74,True
